Store,ScenarioLevel,Year,Month,StandardShippingCost
V4GP8FRWXQHI,Budget,1996,08,7.400
V4GP8FRWXQHI,Budget,1996,09,8.400
V4GP8FRWXQHI,Budget,1996,10,7.400
V4GP8FRWXQHI,Budget,1996,11,7.400
V4GP8FRWXQHI,Budget,1996,12,7.400
FJ7STCUQ888K,Actual,1995,01,9.000
FJ7STCUQ888K,Actual,1995,02,9.090
FJ7STCUQ888K,Actual,1995,03,9.540
FJ7STCUQ888K,Actual,1995,04,8.100
FJ7STCUQ888K,Actual,1995,05,9.000
FJ7STCUQ888K,Actual,1995,06,8.550
FJ7STCUQ888K,Actual,1995,07,8.100
FJ7STCUQ888K,Actual,1995,08,8.550
FJ7STCUQ888K,Actual,1995,09,8.460
FJ7STCUQ888K,Actual,1995,10,9.000
FJ7STCUQ888K,Actual,1995,11,9.180
FJ7STCUQ888K,Actual,1995,12,8.460
FJ7STCUQ888K,Actual,1996,01,8.280
FJ7STCUQ888K,Actual,1996,02,8.280
FJ7STCUQ888K,Actual,1996,03,9.360
FJ7STCUQ888K,Actual,1996,04,9.360
FJ7STCUQ888K,Actual,1996,05,9.450
FJ7STCUQ888K,Actual,1996,06,9.720
FJ7STCUQ888K,Budget,1996,01,8.450
FJ7STCUQ888K,Budget,1996,02,10.450
FJ7STCUQ888K,Budget,1996,03,10.450
FJ7STCUQ888K,Budget,1996,04,10.450
FJ7STCUQ888K,Budget,1996,05,9.450
FJ7STCUQ888K,Budget,1996,06,9.450
FJ7STCUQ888K,Budget,1996,07,8.450
FJ7STCUQ888K,Budget,1996,08,10.450
FJ7STCUQ888K,Budget,1996,09,10.450
FJ7STCUQ888K,Budget,1996,10,9.450
FJ7STCUQ888K,Budget,1996,11,9.450
FJ7STCUQ888K,Budget,1996,12,8.450
A6WSPAJP08S6,Actual,1995,01,7.520
A6WSPAJP08S6,Actual,1995,02,8.720
A6WSPAJP08S6,Actual,1995,03,7.280
A6WSPAJP08S6,Actual,1995,04,7.440
A6WSPAJP08S6,Actual,1995,05,8.720
A6WSPAJP08S6,Actual,1995,06,8.240
A6WSPAJP08S6,Actual,1995,07,8.240
A6WSPAJP08S6,Actual,1995,08,8.320
A6WSPAJP08S6,Actual,1995,09,7.520
A6WSPAJP08S6,Actual,1995,10,8.320
A6WSPAJP08S6,Actual,1995,11,7.760
A6WSPAJP08S6,Actual,1995,12,8.800
A6WSPAJP08S6,Actual,1996,01,7.600
A6WSPAJP08S6,Actual,1996,02,8.480
A6WSPAJP08S6,Actual,1996,03,8.480
A6WSPAJP08S6,Actual,1996,04,7.840
A6WSPAJP08S6,Actual,1996,05,8.800
A6WSPAJP08S6,Actual,1996,06,7.520
A6WSPAJP08S6,Budget,1996,01,8.400
A6WSPAJP08S6,Budget,1996,02,9.400
A6WSPAJP08S6,Budget,1996,03,8.400
A6WSPAJP08S6,Budget,1996,04,8.400
A6WSPAJP08S6,Budget,1996,05,7.400
A6WSPAJP08S6,Budget,1996,06,7.400
A6WSPAJP08S6,Budget,1996,07,8.400
A6WSPAJP08S6,Budget,1996,08,7.400
A6WSPAJP08S6,Budget,1996,09,8.400
A6WSPAJP08S6,Budget,1996,10,8.400
A6WSPAJP08S6,Budget,1996,11,9.400
A6WSPAJP08S6,Budget,1996,12,8.400
S61C9NBV15VK,Actual,1995,01,5.100
S61C9NBV15VK,Actual,1995,02,4.700
S61C9NBV15VK,Actual,1995,03,4.900
S61C9NBV15VK,Actual,1995,04,5.300
S61C9NBV15VK,Actual,1995,05,4.700
S61C9NBV15VK,Actual,1995,06,4.500
S61C9NBV15VK,Actual,1995,07,4.750
S61C9NBV15VK,Actual,1995,08,4.850
S61C9NBV15VK,Actual,1995,09,4.750
S61C9NBV15VK,Actual,1995,10,5.100
S61C9NBV15VK,Actual,1995,11,4.950
S61C9NBV15VK,Actual,1995,12,5.400
S61C9NBV15VK,Actual,1996,01,4.650
S61C9NBV15VK,Actual,1996,02,5.050
S61C9NBV15VK,Actual,1996,03,5.000
S61C9NBV15VK,Actual,1996,04,4.800
S61C9NBV15VK,Actual,1996,05,4.700
S61C9NBV15VK,Actual,1996,06,4.700
S61C9NBV15VK,Budget,1996,01,5.250
S61C9NBV15VK,Budget,1996,02,6.250
S61C9NBV15VK,Budget,1996,03,5.250
S61C9NBV15VK,Budget,1996,04,4.250
S61C9NBV15VK,Budget,1996,05,4.250
S61C9NBV15VK,Budget,1996,06,4.250
S61C9NBV15VK,Budget,1996,07,4.250
S61C9NBV15VK,Budget,1996,08,5.250
S61C9NBV15VK,Budget,1996,09,4.250
S61C9NBV15VK,Budget,1996,10,6.250
S61C9NBV15VK,Budget,1996,11,4.250
S61C9NBV15VK,Budget,1996,12,6.250
M9TQF2JAFVPC,Actual,1995,01,7.840
M9TQF2JAFVPC,Actual,1995,02,7.520
M9TQF2JAFVPC,Actual,1995,03,7.440
M9TQF2JAFVPC,Actual,1995,04,7.520
M9TQF2JAFVPC,Actual,1995,05,7.200
M9TQF2JAFVPC,Actual,1995,06,8.000
M9TQF2JAFVPC,Actual,1995,07,7.200
M9TQF2JAFVPC,Actual,1995,08,7.200
M9TQF2JAFVPC,Actual,1995,09,8.160
M9TQF2JAFVPC,Actual,1995,10,8.400
M9TQF2JAFVPC,Actual,1995,11,7.680
M9TQF2JAFVPC,Actual,1995,12,8.000
M9TQF2JAFVPC,Actual,1996,01,8.720
M9TQF2JAFVPC,Actual,1996,02,7.760
M9TQF2JAFVPC,Actual,1996,03,8.800
M9TQF2JAFVPC,Actual,1996,04,7.680
M9TQF2JAFVPC,Actual,1996,05,8.240
M9TQF2JAFVPC,Actual,1996,06,7.360
M9TQF2JAFVPC,Budget,1996,01,9.400
M9TQF2JAFVPC,Budget,1996,02,8.400
M9TQF2JAFVPC,Budget,1996,03,9.400
M9TQF2JAFVPC,Budget,1996,04,9.400
M9TQF2JAFVPC,Budget,1996,05,9.400
M9TQF2JAFVPC,Budget,1996,06,7.400
M9TQF2JAFVPC,Budget,1996,07,9.400
M9TQF2JAFVPC,Budget,1996,08,9.400
M9TQF2JAFVPC,Budget,1996,09,9.400
M9TQF2JAFVPC,Budget,1996,10,9.400
M9TQF2JAFVPC,Budget,1996,11,7.400
M9TQF2JAFVPC,Budget,1996,12,8.400
R9I539MT89VQ,Actual,1995,01,9.540
R9I539MT89VQ,Actual,1995,02,9.180
R9I539MT89VQ,Actual,1995,03,8.550
R9I539MT89VQ,Actual,1995,04,9.720
R9I539MT89VQ,Actual,1995,05,8.460
R9I539MT89VQ,Actual,1995,06,8.460
R9I539MT89VQ,Actual,1995,07,8.370
R9I539MT89VQ,Actual,1995,08,8.820
R9I539MT89VQ,Actual,1995,09,9.000
R9I539MT89VQ,Actual,1995,10,8.730
R9I539MT89VQ,Actual,1995,11,8.460
R9I539MT89VQ,Actual,1995,12,8.280
R9I539MT89VQ,Actual,1996,01,9.720
R9I539MT89VQ,Actual,1996,02,9.090
R9I539MT89VQ,Actual,1996,03,9.540
R9I539MT89VQ,Actual,1996,04,9.000
R9I539MT89VQ,Actual,1996,05,9.720
R9I539MT89VQ,Actual,1996,06,9.540
R9I539MT89VQ,Budget,1996,01,9.450
R9I539MT89VQ,Budget,1996,02,9.450
R9I539MT89VQ,Budget,1996,03,9.450
R9I539MT89VQ,Budget,1996,04,8.450
R9I539MT89VQ,Budget,1996,05,8.450
R9I539MT89VQ,Budget,1996,06,8.450
R9I539MT89VQ,Budget,1996,07,9.450
R9I539MT89VQ,Budget,1996,08,10.450
R9I539MT89VQ,Budget,1996,09,8.450
R9I539MT89VQ,Budget,1996,10,8.450
R9I539MT89VQ,Budget,1996,11,8.450
R9I539MT89VQ,Budget,1996,12,8.450
FAW0PXZ6V5DG,Actual,1995,01,5.940
FAW0PXZ6V5DG,Actual,1995,02,6.120
FAW0PXZ6V5DG,Actual,1995,03,6.480
FAW0PXZ6V5DG,Actual,1995,04,5.460
FAW0PXZ6V5DG,Actual,1995,05,5.580
FAW0PXZ6V5DG,Actual,1995,06,5.460
FAW0PXZ6V5DG,Actual,1995,07,5.580
FAW0PXZ6V5DG,Actual,1995,08,6.600
FAW0PXZ6V5DG,Actual,1995,09,6.360
FAW0PXZ6V5DG,Actual,1995,10,6.360
FAW0PXZ6V5DG,Actual,1995,11,6.540
FAW0PXZ6V5DG,Actual,1995,12,5.820
FAW0PXZ6V5DG,Actual,1996,01,6.000
FAW0PXZ6V5DG,Actual,1996,02,5.940
FAW0PXZ6V5DG,Actual,1996,03,6.180
FAW0PXZ6V5DG,Actual,1996,04,5.400
FAW0PXZ6V5DG,Actual,1996,05,6.540
FAW0PXZ6V5DG,Actual,1996,06,6.360
FAW0PXZ6V5DG,Budget,1996,01,7.300
FAW0PXZ6V5DG,Budget,1996,02,5.300
FAW0PXZ6V5DG,Budget,1996,03,5.300
FAW0PXZ6V5DG,Budget,1996,04,6.300
FAW0PXZ6V5DG,Budget,1996,05,5.300
FAW0PXZ6V5DG,Budget,1996,06,6.300
FAW0PXZ6V5DG,Budget,1996,07,6.300
FAW0PXZ6V5DG,Budget,1996,08,6.300
FAW0PXZ6V5DG,Budget,1996,09,7.300
FAW0PXZ6V5DG,Budget,1996,10,6.300
FAW0PXZ6V5DG,Budget,1996,11,5.300
FAW0PXZ6V5DG,Budget,1996,12,6.300
OWVAO1E5SMS9,Actual,1995,01,7.920
OWVAO1E5SMS9,Actual,1995,02,8.000
OWVAO1E5SMS9,Actual,1995,03,8.480
OWVAO1E5SMS9,Actual,1995,04,7.920
OWVAO1E5SMS9,Actual,1995,05,7.680
OWVAO1E5SMS9,Actual,1995,06,7.600
OWVAO1E5SMS9,Actual,1995,07,8.000
OWVAO1E5SMS9,Actual,1995,08,8.560
OWVAO1E5SMS9,Actual,1995,09,7.760
OWVAO1E5SMS9,Actual,1995,10,7.600
OWVAO1E5SMS9,Actual,1995,11,7.680
OWVAO1E5SMS9,Actual,1995,12,8.240
OWVAO1E5SMS9,Actual,1996,01,8.400
OWVAO1E5SMS9,Actual,1996,02,7.280
OWVAO1E5SMS9,Actual,1996,03,8.640
OWVAO1E5SMS9,Actual,1996,04,7.360
OWVAO1E5SMS9,Actual,1996,05,7.280
OWVAO1E5SMS9,Actual,1996,06,7.600
OWVAO1E5SMS9,Budget,1996,01,8.400
OWVAO1E5SMS9,Budget,1996,02,8.400
OWVAO1E5SMS9,Budget,1996,03,8.400
OWVAO1E5SMS9,Budget,1996,04,9.400
OWVAO1E5SMS9,Budget,1996,05,8.400
OWVAO1E5SMS9,Budget,1996,06,7.400
OWVAO1E5SMS9,Budget,1996,07,9.400
OWVAO1E5SMS9,Budget,1996,08,8.400
OWVAO1E5SMS9,Budget,1996,09,9.400
OWVAO1E5SMS9,Budget,1996,10,8.400
OWVAO1E5SMS9,Budget,1996,11,7.400
OWVAO1E5SMS9,Budget,1996,12,9.400
I13WDITQN50X,Actual,1995,01,5.700
I13WDITQN50X,Actual,1995,02,6.300
I13WDITQN50X,Actual,1995,03,5.580
I13WDITQN50X,Actual,1995,04,6.360
I13WDITQN50X,Actual,1995,05,6.300
I13WDITQN50X,Actual,1995,06,6.000
I13WDITQN50X,Actual,1995,07,5.400
I13WDITQN50X,Actual,1995,08,6.060
I13WDITQN50X,Actual,1995,09,5.460
I13WDITQN50X,Actual,1995,10,6.060
I13WDITQN50X,Actual,1995,11,6.060
I13WDITQN50X,Actual,1995,12,6.600
I13WDITQN50X,Actual,1996,01,5.760
I13WDITQN50X,Actual,1996,02,5.700
I13WDITQN50X,Actual,1996,03,5.400
I13WDITQN50X,Actual,1996,04,5.760
I13WDITQN50X,Actual,1996,05,6.420
I13WDITQN50X,Actual,1996,06,5.700
I13WDITQN50X,Budget,1996,01,6.300
I13WDITQN50X,Budget,1996,02,6.300
I13WDITQN50X,Budget,1996,03,5.300
I13WDITQN50X,Budget,1996,04,6.300
I13WDITQN50X,Budget,1996,05,6.300
I13WDITQN50X,Budget,1996,06,5.300
I13WDITQN50X,Budget,1996,07,5.300
I13WDITQN50X,Budget,1996,08,6.300
I13WDITQN50X,Budget,1996,09,5.300
I13WDITQN50X,Budget,1996,10,7.300
I13WDITQN50X,Budget,1996,11,6.300
I13WDITQN50X,Budget,1996,12,7.300
JJNVCYNPTV6D,Actual,1995,01,7.350
JJNVCYNPTV6D,Actual,1995,02,7.070
JJNVCYNPTV6D,Actual,1995,03,7.700
JJNVCYNPTV6D,Actual,1995,04,6.440
JJNVCYNPTV6D,Actual,1995,05,7.630
JJNVCYNPTV6D,Actual,1995,06,6.440
JJNVCYNPTV6D,Actual,1995,07,6.720
JJNVCYNPTV6D,Actual,1995,08,7.140
JJNVCYNPTV6D,Actual,1995,09,7.280
JJNVCYNPTV6D,Actual,1995,10,7.280
JJNVCYNPTV6D,Actual,1995,11,7.700
JJNVCYNPTV6D,Actual,1995,12,6.440
JJNVCYNPTV6D,Actual,1996,01,6.650
JJNVCYNPTV6D,Actual,1996,02,6.860
JJNVCYNPTV6D,Actual,1996,03,7.420
JJNVCYNPTV6D,Actual,1996,04,7.000
JJNVCYNPTV6D,Actual,1996,05,7.070
JJNVCYNPTV6D,Actual,1996,06,7.490
JJNVCYNPTV6D,Budget,1996,01,8.350
JJNVCYNPTV6D,Budget,1996,02,7.350
JJNVCYNPTV6D,Budget,1996,03,6.350
JJNVCYNPTV6D,Budget,1996,04,7.350
JJNVCYNPTV6D,Budget,1996,05,6.350
JJNVCYNPTV6D,Budget,1996,06,7.350
JJNVCYNPTV6D,Budget,1996,07,8.350
JJNVCYNPTV6D,Budget,1996,08,8.350
JJNVCYNPTV6D,Budget,1996,09,7.350
JJNVCYNPTV6D,Budget,1996,10,6.350
JJNVCYNPTV6D,Budget,1996,11,8.350
JJNVCYNPTV6D,Budget,1996,12,6.350
TQOL46WK6KGL,Actual,1995,01,5.820
TQOL46WK6KGL,Actual,1995,02,5.580
TQOL46WK6KGL,Actual,1995,03,5.820
TQOL46WK6KGL,Actual,1995,04,6.240
TQOL46WK6KGL,Actual,1995,05,5.460
TQOL46WK6KGL,Actual,1995,06,5.640
TQOL46WK6KGL,Actual,1995,07,5.460
TQOL46WK6KGL,Actual,1995,08,6.060
TQOL46WK6KGL,Actual,1995,09,5.520
TQOL46WK6KGL,Actual,1995,10,5.700
TQOL46WK6KGL,Actual,1995,11,6.180
TQOL46WK6KGL,Actual,1995,12,5.520
TQOL46WK6KGL,Actual,1996,01,6.420
TQOL46WK6KGL,Actual,1996,02,5.820
TQOL46WK6KGL,Actual,1996,03,5.820
TQOL46WK6KGL,Actual,1996,04,5.520
TQOL46WK6KGL,Actual,1996,05,6.120
TQOL46WK6KGL,Actual,1996,06,6.600
TQOL46WK6KGL,Budget,1996,01,6.300
TQOL46WK6KGL,Budget,1996,02,7.300
TQOL46WK6KGL,Budget,1996,03,6.300
TQOL46WK6KGL,Budget,1996,04,7.300
TQOL46WK6KGL,Budget,1996,05,7.300
TQOL46WK6KGL,Budget,1996,06,7.300
TQOL46WK6KGL,Budget,1996,07,7.300
TQOL46WK6KGL,Budget,1996,08,6.300
TQOL46WK6KGL,Budget,1996,09,7.300
TQOL46WK6KGL,Budget,1996,10,5.300
TQOL46WK6KGL,Budget,1996,11,5.300
TQOL46WK6KGL,Budget,1996,12,6.300
Z0TP95618FM7,Actual,1995,01,9.360
Z0TP95618FM7,Actual,1995,02,8.100
Z0TP95618FM7,Actual,1995,03,8.910
Z0TP95618FM7,Actual,1995,04,8.190
Z0TP95618FM7,Actual,1995,05,8.460
Z0TP95618FM7,Actual,1995,06,8.460
Z0TP95618FM7,Actual,1995,07,8.280
Z0TP95618FM7,Actual,1995,08,8.370
Z0TP95618FM7,Actual,1995,09,9.720
Z0TP95618FM7,Actual,1995,10,8.640
Z0TP95618FM7,Actual,1995,11,9.630
Z0TP95618FM7,Actual,1995,12,8.100
Z0TP95618FM7,Actual,1996,01,9.900
Z0TP95618FM7,Actual,1996,02,9.270
Z0TP95618FM7,Actual,1996,03,9.540
Z0TP95618FM7,Actual,1996,04,9.900
Z0TP95618FM7,Actual,1996,05,8.730
Z0TP95618FM7,Actual,1996,06,8.640
Z0TP95618FM7,Budget,1996,01,9.450
Z0TP95618FM7,Budget,1996,02,9.450
Z0TP95618FM7,Budget,1996,03,10.450
Z0TP95618FM7,Budget,1996,04,8.450
Z0TP95618FM7,Budget,1996,05,10.450
Z0TP95618FM7,Budget,1996,06,8.450
Z0TP95618FM7,Budget,1996,07,10.450
Z0TP95618FM7,Budget,1996,08,8.450
Z0TP95618FM7,Budget,1996,09,9.450
Z0TP95618FM7,Budget,1996,10,10.450
Z0TP95618FM7,Budget,1996,11,9.450
Z0TP95618FM7,Budget,1996,12,9.450
V774402E48A5,Actual,1995,01,9.600
V774402E48A5,Actual,1995,02,10.700
V774402E48A5,Actual,1995,03,10.600
V774402E48A5,Actual,1995,04,9.700
V774402E48A5,Actual,1995,05,10.600
V774402E48A5,Actual,1995,06,10.700
V774402E48A5,Actual,1995,07,10.300
V774402E48A5,Actual,1995,08,9.100
V774402E48A5,Actual,1995,09,10.400
V774402E48A5,Actual,1995,10,10.400
V774402E48A5,Actual,1995,11,9.800
V774402E48A5,Actual,1995,12,9.600
V774402E48A5,Actual,1996,01,9.400
V774402E48A5,Actual,1996,02,10.700
V774402E48A5,Actual,1996,03,10.800
V774402E48A5,Actual,1996,04,10.400
V774402E48A5,Actual,1996,05,9.500
V774402E48A5,Actual,1996,06,10.200
V774402E48A5,Budget,1996,01,10.500
V774402E48A5,Budget,1996,02,9.500
V774402E48A5,Budget,1996,03,9.500
V774402E48A5,Budget,1996,04,9.500
V774402E48A5,Budget,1996,05,10.500
V774402E48A5,Budget,1996,06,10.500
V774402E48A5,Budget,1996,07,10.500
V774402E48A5,Budget,1996,08,11.500
V774402E48A5,Budget,1996,09,9.500
V774402E48A5,Budget,1996,10,9.500
V774402E48A5,Budget,1996,11,10.500
V774402E48A5,Budget,1996,12,11.500
N4G6NHMZYF6A,Actual,1995,01,6.650
N4G6NHMZYF6A,Actual,1995,02,7.280
N4G6NHMZYF6A,Actual,1995,03,7.280
N4G6NHMZYF6A,Actual,1995,04,7.630
N4G6NHMZYF6A,Actual,1995,05,6.860
N4G6NHMZYF6A,Actual,1995,06,6.650
N4G6NHMZYF6A,Actual,1995,07,7.000
N4G6NHMZYF6A,Actual,1995,08,7.490
N4G6NHMZYF6A,Actual,1995,09,6.300
N4G6NHMZYF6A,Actual,1995,10,6.370
N4G6NHMZYF6A,Actual,1995,11,6.720
N4G6NHMZYF6A,Actual,1995,12,7.700
N4G6NHMZYF6A,Actual,1996,01,6.370
N4G6NHMZYF6A,Actual,1996,02,7.490
N4G6NHMZYF6A,Actual,1996,03,7.420
N4G6NHMZYF6A,Actual,1996,04,6.930
N4G6NHMZYF6A,Actual,1996,05,6.580
N4G6NHMZYF6A,Actual,1996,06,6.300
N4G6NHMZYF6A,Budget,1996,01,8.350
N4G6NHMZYF6A,Budget,1996,02,6.350
N4G6NHMZYF6A,Budget,1996,03,7.350
N4G6NHMZYF6A,Budget,1996,04,6.350
N4G6NHMZYF6A,Budget,1996,05,7.350
N4G6NHMZYF6A,Budget,1996,06,7.350
N4G6NHMZYF6A,Budget,1996,07,7.350
N4G6NHMZYF6A,Budget,1996,08,7.350
N4G6NHMZYF6A,Budget,1996,09,8.350
N4G6NHMZYF6A,Budget,1996,10,7.350
N4G6NHMZYF6A,Budget,1996,11,7.350
N4G6NHMZYF6A,Budget,1996,12,6.350
UGBE4M55YK0S,Actual,1995,01,8.640
UGBE4M55YK0S,Actual,1995,02,8.320
UGBE4M55YK0S,Actual,1995,03,8.800
UGBE4M55YK0S,Actual,1995,04,8.240
UGBE4M55YK0S,Actual,1995,05,8.480
UGBE4M55YK0S,Actual,1995,06,8.560
UGBE4M55YK0S,Actual,1995,07,8.000
UGBE4M55YK0S,Actual,1995,08,8.320
UGBE4M55YK0S,Actual,1995,09,7.520
UGBE4M55YK0S,Actual,1995,10,7.200
UGBE4M55YK0S,Actual,1995,11,8.560
UGBE4M55YK0S,Actual,1995,12,7.680
UGBE4M55YK0S,Actual,1996,01,8.000
UGBE4M55YK0S,Actual,1996,02,8.560
UGBE4M55YK0S,Actual,1996,03,8.240
UGBE4M55YK0S,Actual,1996,04,8.160
UGBE4M55YK0S,Actual,1996,05,8.560
UGBE4M55YK0S,Actual,1996,06,7.520
UGBE4M55YK0S,Budget,1996,01,9.400
UGBE4M55YK0S,Budget,1996,02,8.400
UGBE4M55YK0S,Budget,1996,03,8.400
UGBE4M55YK0S,Budget,1996,04,7.400
UGBE4M55YK0S,Budget,1996,05,8.400
UGBE4M55YK0S,Budget,1996,06,9.400
UGBE4M55YK0S,Budget,1996,07,9.400
UGBE4M55YK0S,Budget,1996,08,7.400
UGBE4M55YK0S,Budget,1996,09,8.400
UGBE4M55YK0S,Budget,1996,10,8.400
UGBE4M55YK0S,Budget,1996,11,7.400
UGBE4M55YK0S,Budget,1996,12,9.400
JY4Q9Y2K9F0K,Actual,1995,01,6.180
JY4Q9Y2K9F0K,Actual,1995,02,5.520
JY4Q9Y2K9F0K,Actual,1995,03,6.300
JY4Q9Y2K9F0K,Actual,1995,04,5.460
JY4Q9Y2K9F0K,Actual,1995,05,6.480
JY4Q9Y2K9F0K,Actual,1995,06,5.940
JY4Q9Y2K9F0K,Actual,1995,07,6.480
JY4Q9Y2K9F0K,Actual,1995,08,5.880
JY4Q9Y2K9F0K,Actual,1995,09,5.760
JY4Q9Y2K9F0K,Actual,1995,10,6.420
JY4Q9Y2K9F0K,Actual,1995,11,6.180
JY4Q9Y2K9F0K,Actual,1995,12,6.300
JY4Q9Y2K9F0K,Actual,1996,01,6.180
JY4Q9Y2K9F0K,Actual,1996,02,5.940
JY4Q9Y2K9F0K,Actual,1996,03,5.520
JY4Q9Y2K9F0K,Actual,1996,04,5.940
JY4Q9Y2K9F0K,Actual,1996,05,6.120
JY4Q9Y2K9F0K,Actual,1996,06,6.240
JY4Q9Y2K9F0K,Budget,1996,01,7.300
JY4Q9Y2K9F0K,Budget,1996,02,7.300
JY4Q9Y2K9F0K,Budget,1996,03,7.300
JY4Q9Y2K9F0K,Budget,1996,04,5.300
JY4Q9Y2K9F0K,Budget,1996,05,7.300
JY4Q9Y2K9F0K,Budget,1996,06,6.300
JY4Q9Y2K9F0K,Budget,1996,07,6.300
JY4Q9Y2K9F0K,Budget,1996,08,5.300
JY4Q9Y2K9F0K,Budget,1996,09,5.300
JY4Q9Y2K9F0K,Budget,1996,10,6.300
JY4Q9Y2K9F0K,Budget,1996,11,7.300
JY4Q9Y2K9F0K,Budget,1996,12,6.300
J6NKT1TR1LKT,Actual,1995,01,7.280
J6NKT1TR1LKT,Actual,1995,02,8.240
J6NKT1TR1LKT,Actual,1995,03,8.000
J6NKT1TR1LKT,Actual,1995,04,7.440
J6NKT1TR1LKT,Actual,1995,05,7.360
J6NKT1TR1LKT,Actual,1995,06,8.480
J6NKT1TR1LKT,Actual,1995,07,8.080
J6NKT1TR1LKT,Actual,1995,08,7.920
J6NKT1TR1LKT,Actual,1995,09,7.280
J6NKT1TR1LKT,Actual,1995,10,7.360
J6NKT1TR1LKT,Actual,1995,11,7.680
J6NKT1TR1LKT,Actual,1995,12,7.840
J6NKT1TR1LKT,Actual,1996,01,7.360
J6NKT1TR1LKT,Actual,1996,02,7.680
J6NKT1TR1LKT,Actual,1996,03,8.640
J6NKT1TR1LKT,Actual,1996,04,8.080
J6NKT1TR1LKT,Actual,1996,05,8.000
J6NKT1TR1LKT,Actual,1996,06,8.240
J6NKT1TR1LKT,Budget,1996,01,7.400
J6NKT1TR1LKT,Budget,1996,02,9.400
J6NKT1TR1LKT,Budget,1996,03,7.400
J6NKT1TR1LKT,Budget,1996,04,7.400
J6NKT1TR1LKT,Budget,1996,05,7.400
J6NKT1TR1LKT,Budget,1996,06,8.400
J6NKT1TR1LKT,Budget,1996,07,7.400
J6NKT1TR1LKT,Budget,1996,08,9.400
J6NKT1TR1LKT,Budget,1996,09,8.400
J6NKT1TR1LKT,Budget,1996,10,8.400
J6NKT1TR1LKT,Budget,1996,11,9.400
J6NKT1TR1LKT,Budget,1996,12,9.400
WEOJI2Y92PAX,Actual,1995,01,7.440
WEOJI2Y92PAX,Actual,1995,02,8.560
WEOJI2Y92PAX,Actual,1995,03,8.080
WEOJI2Y92PAX,Actual,1995,04,7.360
WEOJI2Y92PAX,Actual,1995,05,7.760
WEOJI2Y92PAX,Actual,1995,06,8.080
WEOJI2Y92PAX,Actual,1995,07,7.680
WEOJI2Y92PAX,Actual,1995,08,7.520
WEOJI2Y92PAX,Actual,1995,09,8.560
WEOJI2Y92PAX,Actual,1995,10,7.280
WEOJI2Y92PAX,Actual,1995,11,8.640
WEOJI2Y92PAX,Actual,1995,12,7.840
WEOJI2Y92PAX,Actual,1996,01,8.080
WEOJI2Y92PAX,Actual,1996,02,8.080
WEOJI2Y92PAX,Actual,1996,03,7.360
WEOJI2Y92PAX,Actual,1996,04,7.600
